,precision,recall,f1-score,support
Normal,0.6736849618157162,0.9719905262073937,0.7958013658207571,9711.0
Attack,0.9681237548341732,0.6437310060001559,0.7732846578676402,12833.0
accuracy,0.7851312987934705,0.7851312987934705,0.7851312987934705,0.7851312987934705
macro avg,0.8209043583249447,0.8078607661037748,0.7845430118441987,22544.0
weighted avg,0.8412919983134921,0.7851312987934705,0.78298390161022,22544.0
