Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9718198055169677,0.9763057765479073,0.9628176701347433,0.9695148132245599,0.9963680505149716
Random Forest,0.9989680492161143,0.9994024244493768,0.9983796691113764,0.9988907849829352,0.9999930890381229
XGBoost,0.9992458821194682,0.9992324093816631,0.9991471942691454,0.9991898000085284,0.9999933328054451
